Products,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023
"Beef stewing cuts, per kilogram 3",16.01,17.78,18.68,18.99,19.09,19.31,19.21,17.91,20.27,19.27,20.96,18.66,18.69
"Beef striploin cuts, per kilogram 3",26.14,33.07,30.63,24.34,22.03,21.87,21.44,26.60,25.05,18.97,19.67,27.78,23.05
"Beef top sirloin cuts, per kilogram 3",17.46,16.26,17.21,17.12,20.18,17.81,19.78,21.96,14.57,18.07,13.69,18.83,18.45
"Beef rib cuts, per kilogram 3",30.55,24.94,20.27,31.97,25.76,31.99,28.33,23.52,18.44,30.69,18.69,31.59,34.62
"Ground beef, per kilogram 3",10.02,10.16,10.47,10.08,9.91,10.48,10.58,11.13,9.85,10.21,10.15,10.13,9.59
"Pork loin cuts, per kilogram 3",7.49,8.01,9.01,8.01,8.71,8.63,7.80,7.66,8.90,7.95,9.00,9.55,7.59
"Pork rib cuts, per kilogram 3",11.25,10.62,11.57,11.98,11.62,11.21,10.61,10.22,9.63,8.04,10.11,8.03,8.25
"Pork shoulder cuts, per kilogram 3",4.12,7.50,8.41,8.17,6.84,5.12,8.34,8.89,4.89,7.30,9.52,4.24,7.11
"Whole chicken, per kilogram 3",5.81,6.03,5.63,6.63,6.13,5.98,6.07,7.39,6.30,6.02,7.05,5.72,6.84
"Chicken breasts, per kilogram 3",13.17,14.67,15.81,15.51,14.71,16.37,15.84,15.64,13.18,13.47,15.16,14.07,13.13
"Chicken thigh, per kilogram 3",10.64,10.44,12.73,12.12,10.34,11.74,12.62,12.84,12.56,12.58,11.93,12.73,10.85
"Chicken drumsticks, per kilogram 3",6.90,5.48,8.34,5.98,6.32,6.22,6.85,6.74,8.40,6.20,5.83,6.01,6.67
"Bacon, 500 grams 4",7.18,6.88,7.30,7.19,6.97,7.35,7.34,7.15,7.47,7.18,7.66,6.87,6.54
"Wieners, 400 grams 4",4.20,3.95,4.39,4.48,4.56,4.60,4.44,4.38,4.53,4.50,4.56,4.39,4.42
"Salmon, per kilogram 3",26.39,27.08,28.72,30.60,30.86,29.60,29.07,29.56,26.82,27.46,25.81,29.38,29.74
"Shrimp, 300 grams 4",7.38,7.37,7.73,7.93,8.07,7.75,7.71,7.66,7.22,7.44,7.97,7.85,7.65
"Canned salmon, 213 grams 4",4.76,4.74,4.95,4.52,4.61,4.78,4.82,4.86,4.66,4.79,4.99,4.96,4.33
"Canned tuna, 170 grams 3",1.68,1.77,1.88,1.78,1.81,1.61,1.76,1.73,1.62,1.63,1.80,1.85,1.90
"Meatless burgers, 226 grams 4",6.03,5.92,5.97,5.65,5.66,5.89,5.91,5.84,5.95,5.87,6.16,5.78,6.00
"Milk, 1 litre 3",3.45,3.49,3.52,3.50,3.49,3.49,3.54,3.65,3.65,3.66,3.66,3.64,3.70
"Milk, 2 litres 3",5.26,5.26,5.30,5.26,5.23,5.17,5.25,5.43,5.40,5.42,5.37,5.45,5.61
"Milk, 4 litres 3",5.69,5.77,5.84,5.82,5.77,5.78,5.82,5.99,5.99,6.07,6.10,6.06,6.20
"Soy milk, 1.89 litres 4",3.84,3.98,4.04,3.98,3.91,3.94,3.92,4.00,4.16,4.22,3.79,4.18,4.08
"Nut milk, 1.89 litres 4",3.74,3.86,3.93,3.92,3.85,3.89,3.93,3.98,4.05,4.11,3.91,4.17,4.06
"Cream, 1 litre 3",4.02,4.28,3.85,4.16,4.06,4.33,4.34,4.12,3.63,4.00,3.63,4.23,4.44
"Butter, 454 grams 3",5.52,4.69,5.66,5.91,6.07,5.35,5.15,5.03,5.51,5.31,6.03,5.65,6.49
"Margarine, 907 grams 4",5.27,5.47,6.44,6.34,6.61,6.79,7.42,7.34,7.28,7.49,7.31,7.33,7.18
"Block cheese, 500 grams 4",6.55,6.84,6.61,6.86,6.72,6.74,6.74,6.83,6.58,6.67,6.36,6.91,6.80
"Yogurt, 500 grams 4",2.79,2.84,2.75,2.88,2.84,2.77,2.80,2.81,2.89,2.88,3.08,3.02,2.95
"Eggs, 1 dozen 3",4.09,4.24,4.33,4.35,4.37,4.46,4.53,4.58,4.69,4.57,4.56,4.62,4.64
"Apples, per kilogram 3",4.54,5.28,5.34,5.44,5.49,5.45,6.01,4.47,4.14,4.89,5.67,5.29,5.04
"Oranges, per kilogram 3",3.19,4.08,3.74,4.19,4.15,4.35,4.15,2.99,3.38,3.13,3.77,3.71,2.97
"Oranges, 1.36 kilograms 3 4",4.67,5.18,5.04,5.35,5.37,5.45,5.53,4.44,4.67,4.60,5.41,5.12,4.58
"Bananas, per kilogram 3",1.48,1.49,1.49,1.49,1.49,1.49,1.48,1.49,1.49,1.48,1.48,1.49,1.49
"Pears, per kilogram 3",4.73,4.78,4.73,4.93,4.65,4.88,5.73,5.23,5.27,5.67,5.87,5.69,5.94
"Lemons, unit 3",0.87,0.87,0.88,0.89,0.84,0.83,0.86,0.80,0.85,0.90,0.94,0.86,0.98
"Limes, unit 3",0.79,0.88,0.89,0.80,0.65,0.58,0.65,0.59,0.64,0.70,0.73,0.74,0.76
"Grapes, per kilogram 3",6.79,6.93,6.27,7.23,5.78,6.26,6.82,6.64,5.17,6.57,7.47,6.82,7.02
"Cantaloupe, unit 3",3.19,2.61,2.79,3.88,4.46,3.99,2.68,3.64,4.45,4.34,3.15,3.06,3.28
"Strawberries, 454 grams 4",3.65,3.08,3.96,3.80,3.14,3.63,4.36,4.33,5.15,6.52,6.12,4.27,4.02
"Avocado, unit 3",1.90,1.99,2.20,2.31,2.32,2.08,2.10,1.84,1.96,1.88,2.02,1.84,1.72
"Potatoes, 4.54 kilograms 3",3.36,3.81,3.73,4.45,4.62,4.44,4.96,3.99,3.76,4.33,3.98,4.85,4.42
"Potatoes, per kilogram 3",4.18,4.16,4.14,4.74,5.21,5.25,4.95,4.76,4.74,4.69,4.72,4.56,4.67
"Sweet potatoes, per kilogram 3",3.43,3.28,3.27,3.76,3.84,3.78,3.93,3.53,3.19,3.69,3.27,3.98,3.54
"Tomatoes, per kilogram 3",5.03,4.20,3.93,3.97,3.91,4.25,3.81,3.72,4.38,6.20,6.80,6.54,5.39
"Cabbage, per kilogram 3",2.28,2.22,2.28,2.50,2.87,2.57,2.21,1.99,1.90,2.29,2.23,2.42,2.46
"Carrots, 1.36 kilograms 4",3.02,3.40,3.45,3.86,3.93,3.92,3.43,3.45,3.12,3.13,3.24,3.37,3.69
"Onions, per kilogram 3",5.22,5.58,5.59,5.62,5.73,5.63,5.65,5.55,5.49,5.50,5.70,5.53,5.50
"Onions, 1.36 kilograms 4",4.16,4.30,4.61,4.73,4.73,5.08,5.12,4.68,4.36,4.38,4.55,4.51,4.59
"Celery, unit 3",2.89,3.17,3.11,3.23,3.37,2.89,2.53,2.49,2.46,3.07,3.65,4.29,4.04
"Cucumber, unit 3",1.82,1.31,1.21,1.23,1.25,1.25,1.31,1.46,1.70,1.57,1.79,1.96,2.19
"Mushrooms, 227 grams 4",2.42,2.36,2.42,2.59,2.29,2.37,2.52,2.21,2.58,2.47,2.69,2.56,2.62
"Iceberg lettuce, unit 3",2.49,2.94,3.09,2.84,2.73,2.09,2.17,2.45,3.27,4.10,4.31,2.94,2.74
"Romaine lettuce, unit 3",3.18,3.74,3.47,3.09,2.64,1.93,2.07,2.45,3.42,4.64,4.51,3.99,3.40
"Broccoli, unit 3",2.70,2.71,2.52,2.69,2.44,2.28,2.44,2.07,2.45,2.87,3.23,3.12,2.89
"Peppers, per kilogram 3",7.14,7.23,6.80,7.28,6.98,6.41,5.45,4.91,6.39,7.89,8.54,8.84,8.53
"Squash, per kilogram 3",4.32,4.51,4.01,4.51,4.81,5.16,4.59,3.23,3.01,3.34,3.92,4.37,4.61
"Salad greens, 142 grams 4",4.00,4.08,4.25,4.30,4.28,4.17,4.36,4.45,4.62,4.69,4.64,4.51,4.52
"Frozen french fried potatoes, 750 grams 4",2.46,2.52,2.49,2.54,2.60,2.56,2.69,2.74,2.84,2.68,2.77,2.64,2.78
"Frozen green beans, 750 grams 4",3.46,3.51,3.28,3.55,3.45,3.60,3.64,3.60,3.58,3.63,3.51,3.60,3.81
"Frozen broccoli, 500 grams 3",3.38,3.79,3.16,3.63,3.48,3.71,3.81,3.70,3.71,3.80,3.34,3.83,3.84
"Frozen corn, 750 grams  4",3.17,3.25,2.93,3.21,3.16,3.23,3.16,3.12,3.16,3.31,3.12,3.27,3.42
"Frozen mixed vegetables, 750 grams  4",3.30,3.31,3.10,3.28,3.29,3.32,3.27,3.31,3.28,3.32,3.13,3.30,3.56
"Frozen peas, 750 grams 4",3.11,3.17,2.93,3.12,3.11,3.17,3.14,3.14,3.17,3.32,3.13,3.27,3.45
"Frozen pizza, 390 grams 4",4.00,4.28,4.10,4.00,4.00,4.13,4.16,4.07,4.13,4.51,4.08,4.77,4.61
"Frozen spinach, 300 grams 4",1.69,1.82,1.89,1.70,1.64,1.94,2.15,2.21,2.01,1.99,2.11,1.94,2.18
"Frozen strawberries, 600 grams 3",4.74,4.74,4.62,4.90,4.87,5.03,5.18,4.76,4.78,4.91,4.61,5.25,5.33
"White bread, 675 grams 4",2.70,2.79,2.81,2.83,2.82,2.92,2.95,2.93,2.98,3.01,3.11,3.07,3.02
"Flatbread and pita, 500 grams  4",3.07,3.04,3.15,3.16,3.17,3.28,3.40,3.42,3.45,3.54,3.65,3.67,3.80
"Crackers and crisp breads, 200 grams  3",2.55,2.63,2.56,2.61,2.56,2.66,2.66,2.62,2.64,2.84,2.83,2.91,2.95
"Cookies and sweet biscuits, 300 grams  4",2.81,2.68,2.75,2.87,2.78,2.88,2.98,3.04,3.10,2.84,2.98,3.14,3.14
"Dry or fresh pasta, 500 grams 4",2.96,3.15,2.93,3.01,3.17,3.09,3.14,3.27,3.26,3.48,3.56,3.57,3.78
"Brown rice, 900 grams  4",4.83,4.99,5.17,5.16,5.27,5.28,5.48,5.56,5.61,5.68,5.52,5.62,5.85
"White rice, 2 kilograms 4",8.49,8.59,9.04,8.92,8.84,8.92,8.80,9.18,8.94,9.24,9.08,9.23,9.16
"Cereal, 400 grams 4",3.66,3.90,3.86,3.83,3.76,3.87,3.85,3.95,4.02,4.04,4.14,3.94,4.06
"Wheat flour, 2.5 kilograms 4",4.90,5.14,5.19,5.19,5.19,5.46,5.64,5.48,5.56,5.46,5.64,5.66,5.68
"White sugar, 2 kilograms 4",2.62,2.40,2.36,2.60,2.43,2.48,2.68,2.30,2.62,2.82,2.75,2.85,2.99
"Apple juice, 2 litres 4",2.83,2.82,2.97,2.96,2.99,2.96,2.98,3.11,3.08,3.17,3.17,2.96,3.02
"Orange juice, 2 litres 4",3.81,3.95,3.79,3.87,3.80,3.79,3.86,3.86,3.65,3.76,3.81,3.77,3.99
"Roasted or ground coffee, 340 grams 4",5.81,5.79,5.88,6.06,6.03,6.16,6.35,6.26,5.76,6.09,6.23,6.19,6.49
Tea (20 bags) 3,3.72,3.64,3.73,3.73,3.88,4.20,3.92,4.21,4.20,3.95,4.17,4.19,4.23
"Ketchup, 1 litre 4",3.92,3.96,4.06,4.06,3.95,3.91,4.06,4.04,4.01,3.94,4.16,4.03,4.23
"Vegetable oil, 3 litres 4",10.36,10.06,10.62,10.62,10.90,11.98,11.61,10.30,9.93,10.99,11.21,10.74,10.78
"Canola oil, 3 litres 4",11.32,11.73,12.52,12.82,12.67,12.49,12.40,13.79,12.71,12.95,13.62,12.15,12.97
"Olive oil, 1 litre 4",7.01,8.76,8.38,8.49,8.57,8.14,9.75,8.07,7.80,8.71,9.19,9.99,9.79
"Baby food, 128 millilitres 4",1.37,1.40,1.42,1.43,1.42,1.40,1.42,1.47,1.47,1.44,1.50,1.49,1.57
"Infant formula, 900 grams  4",29.86,28.18,30.64,33.53,31.63,31.95,31.84,32.28,34.80,34.80,34.75,37.12,33.23
"Peanut butter, 1 kilogram 4",5.19,5.32,5.37,5.34,5.41,5.34,5.43,5.49,5.53,5.21,5.69,5.54,5.74
"Mayonnaise, 890 millilitres  4",5.53,5.73,6.10,5.92,6.08,6.18,6.27,6.38,6.19,6.09,6.39,6.14,6.52
"Canned baked beans, 398 millilitres 4",1.46,1.34,1.52,1.60,1.49,1.62,1.43,1.63,1.67,1.48,1.66,1.70,1.75
"Canned tomatoes, 796 millilitres 4",1.49,1.48,1.39,1.45,1.61,1.62,1.74,1.58,1.51,1.61,1.83,1.79,1.91
"Canned soup, 284 millilitres 4",1.10,1.43,1.15,1.10,1.45,1.44,1.22,1.12,1.62,1.11,1.65,1.52,1.75
"Canned beans and lentils, 540 millilitres 3",1.32,1.37,1.43,1.47,1.42,1.43,1.49,1.42,1.34,1.45,1.53,1.54,1.55
"Canned corn, 341 millilitres 4",1.35,1.38,1.24,1.37,1.41,1.51,1.70,1.58,1.32,1.40,1.31,1.51,1.68
"Canned peach, 398 millilitres 4",2.17,2.15,2.16,2.09,2.28,2.25,2.30,2.33,2.23,2.32,2.20,2.34,2.53
"Canned pear, 398 millilitres 4",2.30,2.27,2.29,2.30,2.41,2.43,2.46,2.41,2.47,2.47,2.37,2.49,2.58
"Dried lentils, 900 grams 4",3.32,3.32,3.42,3.43,3.55,3.67,3.65,3.62,3.60,3.60,3.66,3.83,3.83
"Dry beans and legumes, 900 grams  4",3.21,3.27,3.28,3.28,3.42,3.54,3.48,3.57,3.31,3.29,3.57,3.58,3.57
"Tofu, 350 grams  4",2.60,2.55,2.60,2.54,2.61,2.72,2.69,2.77,2.77,2.70,2.76,2.58,2.79
"Hummus, 227 grams 4",3.40,3.41,3.53,3.62,3.44,3.54,3.72,3.79,3.76,3.71,3.70,3.71,3.87
"Salsa, 418 millilitres 4",3.76,3.74,3.70,3.88,4.00,4.07,4.06,4.15,4.26,4.21,4.31,4.43,4.44
"Pasta sauce, 650 millilitres 4",2.50,2.50,2.58,2.36,2.74,2.70,2.73,2.86,2.74,2.73,2.79,3.03,2.83
"Salad dressing, 475 millilitres 4",3.30,3.43,3.41,3.24,3.16,3.21,3.17,3.35,3.28,3.23,3.34,3.36,3.55
"Almonds, 200 grams 4",5.10,5.25,5.33,5.47,5.49,5.18,5.27,5.39,5.42,4.75,4.89,4.97,4.93
"Peanuts, 450 grams 4",2.92,3.06,3.16,3.18,2.99,3.00,3.17,3.36,3.25,3.34,3.46,3.40,3.51
"Sunflower seeds, 400 grams  4",4.13,4.02,4.14,3.98,3.99,4.21,4.18,4.26,4.31,4.25,4.31,4.26,4.32
"Deodorant, 85 grams 4",5.62,6.05,6.32,6.46,6.22,6.42,6.10,6.42,6.40,6.54,6.70,6.69,6.67
"Toothpaste, 100 millilitres 4",3.46,3.39,3.35,3.39,3.39,3.47,3.67,3.83,3.51,3.53,3.68,3.28,3.67
"Shampoo, 400 millilitres 4",5.63,5.65,5.73,5.83,6.01,5.88,6.08,6.24,6.09,6.12,6.11,6.27,5.97
"Laundry detergent, 4.43 litres 4",13.93,14.16,13.66,13.85,13.96,13.35,13.70,14.16,13.49,14.27,14.49,13.95,15.28